Date,IAM,WAA,TIM,LES,ATH,ATW,MNG,CMA,ATL,ADH,BCP,TMA
1/2/2018,136.85,"4.987,0",216,169.8,91,481,"1.675,00","1.706,00",64.8,35.05,293,"1.800,00"
1/3/2018,138.05,"4.975,0",216,173.9,90,490,"1.699,00","1.700,00",65.3,37.05,289.9,"1.847,00"
1/4/2018,140,"4.900,0",216,168.85,92,490,"1.716,00","1.700,00",64,37.11,285.3,"1.800,00"
1/5/2018,140.5,"4.861,0",211,175,91.9,497.85,"1.700,00","1.700,00",64.95,36.5,283,"1.830,00"
1/8/2018,140.25,"4.995,0",210,172,92.5,492,"1.700,00","1.665,00",63.5,36,285.4,"1.800,00"
1/9/2018,140,"4.999,0",224.8,174,92.4,496.05,"1.706,00","1.700,00",63.7,35.61,287,"1.820,00"
1/10/2018,140,"4.870,0",224.7,174.95,92,500,"1.750,00","1.698,00",69,36.01,286.65,"1.850,00"
1/12/2018,140,"4.950,0",224.7,175,98,500.1,"1.831,00","1.750,00",68.4,35.61,292.95,"1.940,00"
1/15/2018,144,"4.950,0",214,175,98,508,"1.830,00","1.748,00",67.5,36.5,302,"1.934,00"
1/16/2018,150,"4.975,0",210,175,97,500,"1.826,00","1.760,00",68,36.8,303,"1.900,00"
1/17/2018,149,"4.974,0",224.85,179,95.5,500,"1.826,00","1.750,00",68,36,297.35,"1.901,00"
1/18/2018,148.05,"4.975,0",203,175,96,500,"1.845,00","1.750,00",68,36,297.3,"1.870,00"
1/19/2018,148.4,"5.100,0",218.95,182,94.6,500,"1.840,00","1.750,00",67.25,35.99,297.7,"1.907,00"
1/22/2018,147.95,"5.000,0",202,188.4,96.89,505,"1.820,00","1.760,00",68.21,35.95,297.95,"1.914,00"
1/23/2018,147.8,"5.140,0",218.4,188.9,96,500,"1.825,00","1.779,00",69.98,35.46,297,"1.900,00"
1/24/2018,147.55,"5.190,0",217.95,186.5,94.52,501,"1.812,00","1.780,00",69.05,34.9,297.6,"1.900,00"
1/25/2018,147.3,"5.190,0",216,186.5,94.8,509.3,"1.830,00","1.730,00",70,33.5,297.6,"1.905,00"
1/26/2018,147.1,"5.190,0",215.8,186.5,95.29,507.9,"1.820,00","1.730,00",71,32.9,297,"1.910,00"
1/29/2018,147.5,"5.220,0",215,181.3,94.12,503.6,"1.800,00","1.760,00",72.2,33.21,296.5,"1.902,00"
1/30/2018,147.7,"5.150,0",215.8,179.6,94.5,507.7,"1.834,00","1.789,00",73.05,33,294,"1.920,00"
1/31/2018,147.7,"4.900,0",212,184,94.1,500,"1.782,00","1.765,00",73,33.5,294,"1.940,00"
2/1/2018,149.9,"5.100,0",210,180,94.9,500.4,"1.795,00","1.711,00",70.14,34.31,300.05,"1.920,00"
2/2/2018,149.5,"5.099,0",216,177.6,94.5,502.5,"1.780,00","1.730,00",72,37.72,300,"1.940,00"
2/5/2018,148,"5.100,0",204.05,180,94.99,500,"1.750,00","1.745,00",71.5,36.5,298,"1.922,00"
2/6/2018,146.5,"5.100,0",201.2,180,94,498,"1.703,00","1.710,00",71.51,35.5,294.65,"1.930,00"
2/7/2018,145,"5.010,0",200.05,180,94,488,"1.794,00","1.710,00",72.01,35.8,295.3,"1.940,00"
2/8/2018,145.15,"5.098,0",220.05,179.3,93.99,495,"1.790,00","1.683,00",74.47,35.36,296,"1.930,00"
2/9/2018,146,"5.001,0",241.8,180,94.5,492.5,"1.787,00","1.700,00",76,35.99,299,"1.925,00"
2/12/2018,146,"5.001,0",239,180,94,490,"1.799,00","1.700,00",77,35.7,296.5,"1.917,00"
2/13/2018,146.55,"5.000,0",230,180,94,503.9,"1.795,00","1.660,00",76.01,35,297,"1.916,00"
2/14/2018,146,"4.950,0",228.9,178.5,94.5,495,"1.756,00","1.700,00",75.01,35.4,297.2,"1.940,00"
2/15/2018,146.25,"5.057,0",220,179,95.9,497.1,"1.751,00","1.675,00",76,35.4,304,"1.926,00"
2/16/2018,147.05,"4.998,0",220,178.6,95.1,501,"1.760,00","1.698,00",80,35.4,302,"1.938,00"
2/19/2018,150.8,"4.950,0",220,180,97.75,502,"1.790,00","1.730,00",80.9,35.6,301.95,"1.922,00"
2/20/2018,149.95,"4.950,0",220,178,96,500,"1.756,00","1.690,00",78.15,35.15,302.05,"1.931,00"
2/21/2018,148.5,"4.998,0",220,180,98.8,503.7,"1.756,00","1.719,00",79.5,35.2,301.25,"1.935,00"
2/22/2018,148.55,"4.998,0",239,178.2,98.7,508,"1.780,00","1.665,00",78.6,35.2,303,"1.935,00"
2/23/2018,149,"5.000,0",239,176.1,96.1,514,"1.780,00","1.710,00",79.78,34.25,303,"1.935,00"
2/26/2018,150,"4.950,0",239,178.2,96.25,504.3,"1.775,00","1.675,00",78.4,34.07,300,"1.922,00"
2/27/2018,151,"4.860,0",239,176,97,507.8,"1.775,00","1.710,00",80,33,298,"1.939,00"
2/28/2018,148.55,"4.900,0",229,179.9,98.8,507.8,"1.756,00","1.720,00",79.22,33.99,297.55,"1.943,00"
3/1/2018,150.2,"4.820,0",215,179.8,97,509.8,"1.775,00","1.710,00",78.33,34.5,299,"1.930,00"
3/2/2018,150.5,"4.980,0",202.15,178,96.3,509.4,"1.775,00","1.715,00",80.4,33.5,300,"1.935,00"
3/5/2018,150.25,"4.977,0",202.2,178,96,512,"1.775,00","1.760,00",79.2,33.94,300,"1.934,00"
3/6/2018,150.5,"4.972,0",203.05,178,96,511.4,"1.779,00","1.770,00",79.2,33.01,300,"1.930,00"
3/7/2018,150.55,"4.880,0",203,175,96,510,"1.766,00","1.770,00",80,33.15,300.3,"1.841,00"
3/8/2018,151,"4.899,0",203,178,97,511.9,"1.750,00","1.772,00",78.4,33.57,300,"1.862,00"
3/9/2018,151.55,"4.900,0",190.9,175,96,512,"1.774,00","1.809,00",79,34,302.9,"1.862,00"
3/12/2018,151.65,"4.900,0",202,176.8,95.5,513.6,"1.771,00","1.750,00",78.7,33.78,300.5,"1.876,00"
3/13/2018,151.4,"4.785,0",202,176.5,95.4,510,"1.700,00","1.745,00",80.01,33.6,301,"1.930,00"
3/14/2018,150.85,"4.940,0",199.95,168,95,510,"1.680,00","1.783,00",80,33.53,300,"1.900,00"
